ANIO;MES;CONGLOMERADO;MUESTRA;SELVIV;HOGAR;C201;REGION;ESTRATO;LLAVE_PANEL;C203;C204;C205;C206;C207;C208;C300n;NROINF;C301_DIA;C301_MES;C301_ANIO;C303;C304;C305;C306_1;C306_2;C306_3;C306_4;C306_5;C306_6;C306_7;C306_8;C306_9;C306_10;C306_10A;C306_11;C308_COD;C309_COD;C310;C311;C317;C317A;C318_1;C318_2;C318_3;C318_4;C318_5;C318_6;C318_7;whoraT;C330;C331;P209H;C335;C338;C339_1;C341_T;C342;C344;C345_1;C348;C347_T;C350;C352;C353;C354;C355;C356;C357_I;C358;C359;SEGURO1;C366;C366_1;C366_2;C375_1;C375_2;C375_3;C375_4;C375_5;C375_6;C376;C377;OCUP300;I339_1;D341_T;I342;D344;I345_1;I348;D347_T;D350;INGTOT;INGTOTP;RESIDENT;fa_fma23
2023;2;18538;1;144;1;2;1;1;2.02302E+17;2;1;2; ;2;58;2;2;30;8;1964;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3334;6810;2; ;1;1;3;2;2;2;2;2;3;30;1; ;1;1; ; ; ;3000; ; ;1500; ;400; ; ; ; ; ; ; ;1;1;10;4; ;2;2;2;2;2;2;10;7;1; ; ;3000; ; ;1500; ;400;4900;3000;1;528.1319178
2023;2;18221;1;113;1;1;1;1;2.02202E+17;1;1;2; ;1;63;1;1;15;4;1959;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;2330;8521;3;2;5;2000;0;0;0;0;0;0;0;58;2;30;2;2;4;2500; ; ; ; ;500; ;200; ; ; ; ; ; ; ;1;1;11;5; ;2;2;2;2;2;2;10;7;1;2500; ; ; ; ;500; ;200;3200;2500;1;264.6599528
2023;2;17658;1;7;1;1;1;1;2.02302E+17;1;1;2; ;2;33;1;1;13;2;1990;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5212;4711;3;5;1;5;10;0;0;0;0;12;10;64;1; ;2;2;2;100;184; ; ; ;800; ;200; ; ; ; ; ; ; ;1;5;5;3; ;2;2;2;2;2;2;10;8;1;433;797; ; ; ;800; ;200;2230;1230;1;618.1853826
2023;2;29269;1;186;1;1;1;1;2.02302E+17;1;1;2; ;2;38;1;1;10;1;1985;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9112;8121;2; ;1;1;0;8;8;0;0;8;0;45;2;45;1;2; ; ; ;1030; ; ;350; ;150; ; ; ; ; ; ; ;1;5;6;5; ;2;2;2;2;2;2;10;1;1; ; ;1030; ; ;350; ;150;1530;1030;1;1327.854155
2023;2;2299901;1;131;1;7;1;1;2.02302E+19;11;1;2; ;1;34;7;7;1;10;1988;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9313;4100;3;5;1;5;0;10;10;10;10;10;5;71;1; ;1;1;2;300; ; ; ; ;1000; ;150; ; ; ; ; ; ; ;1;5;6;5; ;2;2;2;2;2;2;10;7;1;1299; ; ; ; ;1000; ;150;2449;1299;1;1355.092356
2023;2;1951501;1;24;1;1;1;1;2.02302E+19;1;1;2; ;2;40;1;1;26;5;1982;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9629;9609;2; ;1;2;0;2;2;2;2;2;4;46;1; ;1;2; ; ; ;1300; ; ;500; ;120; ; ; ; ; ; ; ;1;6;6;5; ;2;2;2;2;2;2;10;7;1; ; ;1160; ; ;500; ;120;1780;1160;1;1367.763614
2023;2;27695;1;1;1;5;1;1;2.02202E+17;6;1;2; ;2;53;5;5;20;10;1969;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9112;8121;2; ;1;1;0;0;0;8;0;8;0;24;1; ;1;2; ; ; ;900; ; ;430; ;120; ; ; ; ; ; ; ;1;5;5;3; ;2;2;2;2;2;2;10;7;1; ; ;879; ; ;430; ;120;1429;879;1;560.8809298
2023;2;2299901;1;128;1;1;1;1;2.02302E+19;1;1;2; ;1;40;1;1;10;4;1982;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4417;6910;3;5;2;30;0;10;9;10;10;9;0;49;1; ;1;2;4;1750; ; ; ; ;35; ;120; ; ; ; ; ; ; ;1;1;8;2; ;2;2;2;2;2;2;10;7;1;1750; ; ; ; ;35; ;120;1905;1750;1;1355.092356
2023;2;28474;1;18;1;1;1;1;2.02302E+17;1;1;2; ;2;55;1;1;24;9;1967;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2411;2220;3;5;2;30;0;8;8;8;8;8;8;56;1; ;1;2;4;4500; ; ; ; ;500; ;100; ; ; ; ; ; ; ;1;1;12;2; ;2;2;2;2;2;2;10;7;1;4500; ; ; ; ;500; ;100;5100;4500;1;1034.829495
2023;2;27104;1;46;1;2;1;1;2.02302E+17;2;1;2; ;2;50;2;2;4;3;1972;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4417;4659;3;5;1;2;0;6;6;6;6;6;0;65;1; ;2;2;3;800; ; ; ; ;700; ;100; ; ; ; ; ; ; ;1;3;11;5; ;2;2;2;2;2;2;10;7;1;1600; ; ; ; ;700; ;100;2400;1600;1;1240.061043
